"LAKENUMBER_TO_USE"	"Lac"	"Mesure"	"date"	"Green_Algae_ug.L"	"Bluegreen_ug.L"	"Diatoms_ug.L"	"Cryptophyta_ug.L"	"Yellow.sub_ug.L"	"Total_conc_ug.L"	"treatment"	"Year"	"Month"	"Day"
8	"LAC 8"	"Mesure 1"	2016-10-18 14:53:40	13.33	0.0333333333333333	1.58666666666667	0	1.62333333333333	14.95	"No perch - Phosphorus"	2016	10	18
8	"LAC 8"	"Mesure 1"	2016-01-13 17:29:00	4.54666666666667	0.653333333333333	8.93666666666667	0	1.02	14.1466666666667	"No perch - Phosphorus"	2016	1	13
8	"LAC 8"	"Mesure 1"	2016-04-14 16:36:00	16.0633333333333	0	1.93	0	1.18333333333333	17.9933333333333	"No perch - Phosphorus"	2016	4	14
8	"LAC 8"	"Mesure 1"	2016-11-21 16:48:00	10.1866666666667	2.53333333333333	0.956666666666667	14.39	4.72333333333333	28.0633333333333	"No perch - Phosphorus"	2016	11	21
8	"LAC 8"	"Mesure 1"	2016-06-20 15:51:00	44.78	0	0	0	1.42666666666667	44.78	"No perch - Phosphorus"	2016	6	20
8	"LAC 8"	"Mesure 1"	2016-02-17 16:18:00	5.00333333333333	1.38	1.29666666666667	0	0.916666666666667	7.68333333333333	"No perch - Phosphorus"	2016	2	17
8	"LAC 8"	"Mesure 1"	2016-05-17 15:59:00	52.04	0	0.07	0	1.44666666666667	52.1066666666667	"No perch - Phosphorus"	2016	5	17
8	"LAC 8"	"Mesure 1"	2016-12-15 17:53:40	7.93	2.23	0.466666666666667	6.74666666666667	4.53666666666667	17.3733333333333	"No perch - Phosphorus"	2016	12	15
8	"LAC 8"	"Mesure 1"	2016-07-20 15:11:40	69.5333333333333	13.7166666666667	0	0	1.54666666666667	83.2466666666667	"No perch - Phosphorus"	2016	7	20
9	"LAC 9"	"Mesure 1"	2016-08-23 14:54:00	14.9366666666667	0.11	1.93	0	1.76333333333333	16.9833333333333	"Perch - Phosphorus"	2016	8	23
9	"LAC 9"	"Mesure 1"	2016-01-13 17:31:40	2.90666666666667	1.09666666666667	7.16333333333333	0	1.27666666666667	11.17	"Perch - Phosphorus"	2016	1	13
9	"LAC 9"	"Mesure 1"	2016-09-22 14:35:00	3.00666666666667	0.793333333333333	1.56333333333333	0	1.33	5.35666666666667	"Perch - Phosphorus"	2016	9	22
9	"LAC 9"	"Mesure 1"	2016-07-20 15:15:00	44.82	28.7666666666667	0	0	2.42	73.5933333333333	"Perch - Phosphorus"	2016	7	20
9	"LAC 9"	"Mesure 1"	2016-02-17 16:21:00	11.07	0	8.88333333333333	0	0.213333333333333	19.9533333333333	"Perch - Phosphorus"	2016	2	17
9	"LAC 9"	"Mesure 1"	2016-10-18 14:56:00	5.75	0.816666666666667	2.26333333333333	0	1.60666666666667	8.82666666666667	"Perch - Phosphorus"	2016	10	18
9	"LAC 9"	"Mesure 1"	2016-03-22 15:11:00	5.21333333333333	0.02	1.33	0	0.456666666666667	6.55666666666667	"Perch - Phosphorus"	2016	3	22
9	"LAC 9"	"Mesure 1"	2016-11-21 16:51:00	7.09	0.45	6.05333333333333	0	2.57	13.6	"Perch - Phosphorus"	2016	11	21
9	"LAC 9"	"Mesure 1"	2016-06-20 15:57:00	42.6666666666667	0	0	0	1.32333333333333	42.6666666666667	"Perch - Phosphorus"	2016	6	20
9	"LAC 9"	"Mesure 1"	2016-04-14 16:39:40	6.44	0	5.91666666666667	0	0.47	12.3566666666667	"Perch - Phosphorus"	2016	4	14
9	"LAC 9"	"Mesure 1"	2016-12-15 17:56:00	7.69	1.08666666666667	6.49666666666667	0	2.03333333333333	15.2766666666667	"Perch - Phosphorus"	2016	12	15
9	"LAC 9"	"Mesure 1"	2016-05-17 16:02:00	15.0966666666667	0	2.73666666666667	0	1.26	17.8333333333333	"Perch - Phosphorus"	2016	5	17
10	"LAC 10"	"Mesure 1"	2016-06-20 15:59:20	0.86	0.27	0.84	0	0.7	1.97	"Perch - Control"	2016	6	20
10	"LAC 10"	"Mesure 1"	2016-01-13 17:34:00	3.59666666666667	0.976666666666667	4.18666666666667	0	0.71	8.76333333333333	"Perch - Control"	2016	1	13
